国・地域,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額計,平均泊数,標本数,年度,alpha-3
ベトナム,27277.0,14078.0,6370.0,847.0,58065.0,1059.0,107696.0,8.5,177.0,2017,VNM
ロシア,34686.0,33827.0,12168.0,6265.0,34545.0,926.0,122417.0,8.2,168.0,2017,RUS
その他,87097.0,39642.0,37234.0,8875.0,16202.0,603.0,189653.0,10.0,41.0,2017,
全体,34556.0,26312.0,9338.0,3191.0,64847.0,2199.0,140443.0,7.9,12893.0,2018,
韓国,31922.0,24723.0,8205.0,3669.0,22915.0,1907.0,93341.0,8.8,1871.0,2018,KOR
台湾,28824.0,21353.0,7669.0,3167.0,46742.0,1306.0,109061.0,6.7,1951.0,2018,TWN
香港,36885.0,29566.0,10837.0,4095.0,67522.0,497.0,149403.0,5.2,953.0,2018,HKG
中国,35825.0,31132.0,9790.0,2066.0,134987.0,4117.0,217918.0,9.2,2571.0,2018,CHN
タイ,22091.0,19169.0,7768.0,3928.0,43804.0,782.0,97542.0,4.8,692.0,2018,THA
シンガポール,48599.0,30527.0,10933.0,3115.0,52981.0,399.0,146555.0,4.9,360.0,2018,SGP
マレーシア,35402.0,15059.0,9983.0,4590.0,43743.0,2736.0,111513.0,6.3,234.0,2018,MYS
米国,50762.0,29895.0,10460.0,4286.0,23225.0,1443.0,120070.0,6.2,1275.0,2018,USA
カナダ,46962.0,29728.0,10062.0,4469.0,24297.0,694.0,116212.0,8.5,256.0,2018,CAN
英国,59761.0,35114.0,12212.0,5569.0,21574.0,1021.0,135250.0,9.1,286.0,2018,GBR
ドイツ,57173.0,37972.0,13204.0,4975.0,20159.0,1066.0,134548.0,8.6,190.0,2018,DEU
フランス,51921.0,29323.0,15301.0,6017.0,27888.0,2010.0,132459.0,8.8,263.0,2018,FRA
イタリア,46067.0,30477.0,13831.0,5282.0,22865.0,625.0,119147.0,12.3,220.0,2018,ITA
スペイン,58867.0,34727.0,11885.0,5361.0,23829.0,1454.0,136122.0,7.8,222.0,2018,ESP
オーストラリア,54817.0,42980.0,15333.0,6497.0,35105.0,451.0,155182.0,6.1,400.0,2018,AUS
インド,41269.0,22679.0,10330.0,2319.0,18112.0,2298.0,97007.0,11.3,168.0,2018,IND
インドネシア,37144.0,21567.0,8559.0,3115.0,35182.0,1171.0,106739.0,8.6,305.0,2018,IDN
フィリピン,28893.0,20311.0,8413.0,2744.0,27634.0,250.0,88246.0,8.7,293.0,2018,PHL
ベトナム,19849.0,12921.0,16541.0,838.0,71314.0,8.0,121471.0,13.0,200.0,2018,VNM
ロシア,35818.0,19590.0,10236.0,6792.0,33911.0,40656.0,147003.0,8.1,172.0,2018,RUS
その他,19495.0,10752.0,8760.0,0.0,32762.0,0.0,71769.0,5.1,11.0,2018,
全体,32693.0,25257.0,8319.0,2749.0,66717.0,1669.0,137403.0,6.7,12716.0,2019,
韓国,28255.0,20709.0,7867.0,3116.0,19194.0,1813.0,80953.0,6.9,1903.0,2019,KOR
台湾,24338.0,18540.0,6505.0,2222.0,47446.0,273.0,99324.0,5.7,1817.0,2019,TWN
中国,32999.0,29459.0,8528.0,2303.0,130310.0,2897.0,206496.0,7.7,2554.0,2019,CHN
香港,34185.0,31177.0,9319.0,3225.0,63117.0,111.0,141135.0,4.9,926.0,2019,HKG
タイ,22683.0,17901.0,7197.0,2494.0,39484.0,520.0,90281.0,5.2,732.0,2019,THA
シンガポール,56553.0,30248.0,11042.0,2503.0,49530.0,826.0,150702.0,5.4,330.0,2019,SGP
マレーシア,24914.0,15149.0,5949.0,862.0,35175.0,942.0,82992.0,5.0,278.0,2019,MYS
米国,54160.0,30122.0,10880.0,4527.0,20966.0,1182.0,121837.0,6.2,1206.0,2019,USA
カナダ,41889.0,26196.0,8033.0,3304.0,17326.0,853.0,97601.0,6.6,269.0,2019,CAN
英国,54490.0,30119.0,10352.0,4401.0,24528.0,547.0,124437.0,7.0,299.0,2019,GBR
ドイツ,57269.0,37744.0,10233.0,4964.0,21678.0,2613.0,134502.0,8.7,194.0,2019,DEU
